legacy_id,source_item_code,manual_code,item_type,source_number,source_text_sha256,source_status,governance_approval_status
DGI-001,DGI-01-A01,iSAFE-DGM-01,REQUIREMENT,1,9f4097d1e2f70e9dc8d8cfbfebfc9a8ddc1089b37fb2300c145758adbcc85164,SOURCE_FOUND,PENDING
DGI-002,DGI-01-A02,iSAFE-DGM-01,REQUIREMENT,2,282b68018af1f7e910bc13bf1059a83d335b2ecc97ccc37f622fb3f534262354,SOURCE_FOUND,PENDING
DGI-003,DGI-01-A03,iSAFE-DGM-01,REQUIREMENT,3,b9499e6cff006f8de6cd80c6f4c4980fea7b130d08736162d842e13a3ea1eb8f,SOURCE_FOUND,PENDING
DGI-004,DGI-01-A04,iSAFE-DGM-01,REQUIREMENT,4,6c316edd3d1c17a1dfbf80be1f782112c747aec1307f4764235f7a018bc6e0ef,SOURCE_FOUND,PENDING
DGI-005,DGI-01-A05,iSAFE-DGM-01,REQUIREMENT,5,2c043d1a5b35cbeae5382c3689bb704f1a18e22f4ce4af6ef12659718c702186,SOURCE_FOUND,PENDING
DGI-006,DGI-01-A06,iSAFE-DGM-01,REQUIREMENT,6,d99231737f9f05e43bdff61ceb9965c6de888a3e33fe5b0264ccfe9edd29f553,SOURCE_FOUND,PENDING
DGI-007,DGI-01-A07,iSAFE-DGM-01,REQUIREMENT,7,d1e04a1accdba517ee43e0907d89ce5da05a0464dd1389a998f4da7e92e089ee,SOURCE_FOUND,PENDING
DGI-008,DGI-01-E01,iSAFE-DGM-01,RISK_SIGNAL,1,11e0d866461abb2edf8c4dd5019c385f5cbf8c1ca086d48eeae54ad621f051e7,SOURCE_FOUND,PENDING
DGI-009,DGI-01-E02,iSAFE-DGM-01,RISK_SIGNAL,2,612033aa090e15e94ad3903773179464c73ee8465840c4e040fc393afc382bfb,SOURCE_FOUND,PENDING
DGI-010,DGI-01-E03,iSAFE-DGM-01,RISK_SIGNAL,3,7c377da8fae8d77cad69469ae1b19f7a93cea52985dfd81257abc504569225c8,SOURCE_FOUND,PENDING
DGI-011,DGI-01-E04,iSAFE-DGM-01,RISK_SIGNAL,4,f8bc3f6f26c735056f6648ac7199a821c0eb3ccf1a1bfcf076ee349d66dbc944,SOURCE_FOUND,PENDING
DGI-012,DGI-01-E05,iSAFE-DGM-01,RISK_SIGNAL,5,c39a716df1a2414d35d6e23813e1939d3d8856b52a48fb5a193dcae8db99da00,SOURCE_FOUND,PENDING
DGI-013,DGI-01-E06,iSAFE-DGM-01,RISK_SIGNAL,6,3698b2af1e26e80c32570fa4f3dd259e8a3c47884c21cfa65f431909915dc249,SOURCE_FOUND,PENDING
DGI-014,DGI-01-E07,iSAFE-DGM-01,RISK_SIGNAL,7,48b3a07a60a8539c75830216d3803a2a2565084d6167d9fabab993fb891d7dd9,SOURCE_FOUND,PENDING
DGI-015,DGI-01-E08,iSAFE-DGM-01,RISK_SIGNAL,8,3eefd717be5a4737bd53c3f8607b0e55cecca1373742e8eca63a9a08bf138360,SOURCE_FOUND,PENDING
DGI-016,DGI-01-P01,iSAFE-DGM-01,CONTROL,1,2b51fc63745599cb6d5e1edd5efaf46300bd7d9d1418a534fd3c63a95047b307,SOURCE_FOUND,PENDING
DGI-017,DGI-01-P02,iSAFE-DGM-01,CONTROL,2,ac0844ed2cafa271897e5c9b1e72ce8e2c362044cdb475887f5451499252ca3d,SOURCE_FOUND,PENDING
DGI-018,DGI-01-P03,iSAFE-DGM-01,CONTROL,3,9b14707da4a97a8795d4bd1e5a2986f2473b4b41454b32ee1610e972e60fe5c1,SOURCE_FOUND,PENDING
DGI-019,DGI-01-P04,iSAFE-DGM-01,CONTROL,4,2509a83dcb482afb46a2c956e2be33db5e218e89749f7d72175ab1339bc39240,SOURCE_FOUND,PENDING
DGI-020,DGI-01-P05,iSAFE-DGM-01,CONTROL,5,bd8386565f41169f3fe11ac55f8dfbba8f7310c7c310e4cf496b71455014d6c5,SOURCE_FOUND,PENDING
